,ins, outs, ands, levels, #patterns, errors, correct, correct %, naive, naive %
ex00, 32, 1, 242, 13,  6400,  2047, 4353, 68.02, 3238, 50.59
ex01, 32, 1, 25, 9,  6400,  214, 6186, 96.66, 3213, 50.20
ex02, 64, 1, 269, 13,  6400,  2173, 4227, 66.05, 3208, 50.12
ex03, 64, 1, 29, 9,  6400,  230, 6170, 96.41, 3214, 50.22
ex04, 128, 1, 290, 13,  6400,  2184, 4216, 65.88, 3235, 50.55
ex05, 128, 1, 25, 8,  6400,  200, 6200, 96.88, 3226, 50.41
ex06, 256, 1, 278, 13,  6400,  2150, 4250, 66.41, 3259, 50.92
ex07, 256, 1, 24, 8,  6400,  209, 6191, 96.73, 3209, 50.14
ex08, 512, 1, 289, 13,  6400,  2061, 4339, 67.80, 3217, 50.27
ex09, 512, 1, 25, 9,  6400,  179, 6221, 97.20, 3204, 50.06
ex10, 32, 1, 110, 12,  6400,  854, 5546, 86.66, 4172, 65.19
ex11, 64, 1, 109, 12,  6400,  911, 5489, 85.77, 4145, 64.77
ex12, 128, 1, 114, 11,  6400,  1003, 5397, 84.33, 4133, 64.58
ex13, 256, 1, 111, 12,  6400,  1114, 5286, 82.59, 4134, 64.59
ex14, 512, 1, 105, 11,  6400,  878, 5522, 86.28, 4219, 65.92
ex15, 32, 1, 71, 10,  6400,  568, 5832, 91.12, 3271, 51.11
ex16, 64, 1, 74, 11,  6400,  675, 5725, 89.45, 3241, 50.64
ex17, 128, 1, 69, 10,  6400,  626, 5774, 90.22, 3205, 50.08
ex18, 256, 1, 74, 11,  6400,  689, 5711, 89.23, 3203, 50.05
ex19, 512, 1, 79, 12,  6400,  693, 5707, 89.17, 3260, 50.94
ex20, 16, 1, 240, 13,  6400,  2424, 3976, 62.12, 3201, 50.02
ex21, 16, 1, 82, 12,  6400,  572, 5828, 91.06, 3210, 50.16
ex22, 32, 1, 279, 13,  6400,  2408, 3992, 62.38, 3218, 50.28
ex23, 32, 1, 150, 12,  6400,  1420, 4980, 77.81, 3230, 50.47
ex24, 64, 1, 283, 13,  6400,  2331, 4069, 63.58, 3239, 50.61
ex25, 64, 1, 260, 13,  6400,  1966, 4434, 69.28, 3270, 51.09
ex26, 128, 1, 280, 13,  6400,  2221, 4179, 65.30, 3204, 50.06
ex27, 128, 1, 284, 13,  6400,  2109, 4291, 67.05, 3248, 50.75
ex28, 256, 1, 278, 13,  6400,  2105, 4295, 67.11, 3262, 50.97
ex29, 256, 1, 270, 13,  6400,  2098, 4302, 67.22, 3282, 51.28
ex30, 20, 1, 26, 8,  6400,  207, 6193, 96.77, 3212, 50.19
ex31, 40, 1, 29, 9,  6400,  227, 6173, 96.45, 3205, 50.08
ex32, 60, 1, 24, 9,  6400,  191, 6209, 97.02, 3293, 51.45
ex33, 80, 1, 28, 9,  6400,  206, 6194, 96.78, 3217, 50.27
ex34, 100, 1, 25, 8,  6400,  191, 6209, 97.02, 3271, 51.11
ex35, 120, 1, 26, 7,  6400,  205, 6195, 96.80, 3203, 50.05
ex36, 140, 1, 24, 8,  6400,  195, 6205, 96.95, 3208, 50.12
ex37, 160, 1, 31, 8,  6400,  233, 6167, 96.36, 3253, 50.83
ex38, 180, 1, 24, 8,  6400,  175, 6225, 97.27, 3200, 50.00
ex39, 200, 1, 25, 9,  6400,  204, 6196, 96.81, 3212, 50.19
ex40, 16, 1, 200, 13,  6400,  1518, 4882, 76.28, 3213, 50.20
ex41, 10, 1, 74, 11,  6400,  214, 6186, 96.66, 3295, 51.48
ex42, 32, 1, 290, 13,  6400,  2434, 3966, 61.97, 3210, 50.16
ex43, 18, 1, 211, 13,  6400,  1733, 4667, 72.92, 3255, 50.86
ex44, 64, 1, 281, 13,  6400,  2353, 4047, 63.23, 3230, 50.47
ex45, 34, 1, 273, 13,  6400,  2451, 3949, 61.70, 3221, 50.33
ex46, 128, 1, 285, 13,  6400,  2134, 4266, 66.66, 3207, 50.11
ex47, 66, 1, 273, 13,  6400,  2306, 4094, 63.97, 3234, 50.53
ex48, 256, 1, 289, 13,  6400,  2135, 4265, 66.64, 3202, 50.03
ex49, 130, 1, 278, 13,  6400,  2179, 4221, 65.95, 3217, 50.27
ex50, 19, 1, 57, 11,  6400,  414, 5986, 93.53, 3660, 57.19
ex51, 44, 1, 190, 13,  6400,  1896, 4504, 70.38, 3307, 51.67
ex52, 59, 1, 183, 12,  6400,  1498, 4902, 76.59, 3204, 50.06
ex53, 45, 1, 116, 11,  6400,  1141, 5259, 82.17, 3408, 53.25
ex54, 48, 1, 43, 9,  6400,  403, 5997, 93.70, 3227, 50.42
ex55, 42, 1, 10, 6,  6400,  108, 6292, 98.31, 5114, 79.91
ex56, 83, 1, 25, 7,  6400,  219, 6181, 96.58, 5825, 91.02
ex57, 24, 1, 15, 7,  6400,  87, 6313, 98.64, 5432, 84.88
ex58, 80, 1, 32, 9,  6400,  252, 6148, 96.06, 4834, 75.53
ex59, 394, 1, 48, 10,  6400,  343, 6057, 94.64, 3245, 50.70
ex60, 43, 1, 56, 10,  6400,  360, 6040, 94.38, 4365, 68.20
ex61, 37, 1, 16, 7,  6400,  35, 6365, 99.45, 4800, 75.00
ex62, 52, 1, 37, 11,  6400,  277, 6123, 95.67, 5334, 83.34
ex63, 38, 1, 29, 9,  6400,  57, 6343, 99.11, 5669, 88.58
ex64, 47, 1, 7, 4,  6400,  0, 6400, 100.00, 4875, 76.17
ex65, 19, 1, 24, 7,  6400,  48, 6352, 99.25, 4252, 66.44
ex66, 47, 1, 68, 10,  6400,  464, 5936, 92.75, 4979, 77.80
ex67, 46, 1, 76, 11,  6400,  479, 5921, 92.52, 4941, 77.20
ex68, 33, 1, 16, 7,  6400,  136, 6264, 97.88, 4303, 67.23
ex69, 16, 1, 19, 7,  6400,  89, 6311, 98.61, 4627, 72.30
ex70, 23, 1, 7, 4,  6400,  43, 6357, 99.33, 5967, 93.23
ex71, 23, 1, 9, 5,  6400,  31, 6369, 99.52, 5791, 90.48
ex72, 35, 1, 28, 8,  6400,  216, 6184, 96.62, 4856, 75.88
ex73, 16, 1, 124, 11,  6400,  1015, 5385, 84.14, 4166, 65.09
ex74, 16, 1, 227, 13,  6400,  2566, 3834, 59.91, 3211, 50.17
ex75, 16, 1, 143, 12,  6400,  1541, 4859, 75.92, 3781, 59.08
ex76, 16, 1, 87, 12,  6400,  1274, 5126, 80.09, 5041, 78.77
ex77, 16, 1, 113, 12,  6400,  1318, 5082, 79.41, 5041, 78.77
ex78, 16, 1, 168, 13,  6400,  2182, 4218, 65.91, 4019, 62.80
ex79, 16, 1, 113, 12,  6400,  1318, 5082, 79.41, 5041, 78.77
ex80, 196, 1, 211, 13,  6400,  869, 5531, 86.42, 3280, 51.25
ex81, 196, 1, 195, 12,  6400,  605, 5795, 90.55, 3261, 50.95
ex82, 196, 1, 167, 12,  6400,  427, 5973, 93.33, 3278, 51.22
ex83, 196, 1, 160, 12,  6400,  308, 6092, 95.19, 3302, 51.59
ex84, 196, 1, 118, 13,  6400,  445, 5955, 93.05, 3284, 51.31
ex85, 196, 1, 121, 11,  6400,  406, 5994, 93.66, 3220, 50.31
ex86, 196, 1, 162, 12,  6400,  417, 5983, 93.48, 3345, 52.27
ex87, 196, 1, 159, 13,  6400,  339, 6061, 94.70, 3204, 50.06
ex88, 196, 1, 166, 13,  6400,  375, 6025, 94.14, 3345, 52.27
ex89, 196, 1, 171, 12,  6400,  343, 6057, 94.64, 3213, 50.20
ex90, 768, 1, 308, 13,  6400,  1978, 4422, 69.09, 3242, 50.66
ex91, 768, 1, 274, 13,  6400,  1680, 4720, 73.75, 3230, 50.47
ex92, 768, 1, 255, 12,  6400,  1570, 4830, 75.47, 3211, 50.17
ex93, 768, 1, 273, 13,  6400,  1868, 4532, 70.81, 3225, 50.39
ex94, 768, 1, 298, 13,  6400,  1883, 4517, 70.58, 3223, 50.36
ex95, 768, 1, 256, 12,  6400,  1519, 4881, 76.27, 3212, 50.19
ex96, 768, 1, 281, 13,  6400,  1511, 4889, 76.39, 3255, 50.86
ex97, 768, 1, 273, 13,  6400,  1612, 4788, 74.81, 3229, 50.45
ex98, 768, 1, 280, 13,  6400,  1510, 4890, 76.41, 3202, 50.03
ex99, 768, 1, 277, 13,  6400,  1408, 4992, 78.00, 3248, 50.75
